ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
电子商务,北京,1,0,1,2,12,2,1,14,2,1902,1862,2041,2363,804,2307,2363,1762,2417,0.666666666666667,0.761904761904762,0.619047619047619
软件工程,北京,1,0,1,3,2,2,3,0,2,1902,1862,2041,1767,2037,2307,2292,2299.5,2307,1,1,0.833333333333333
计算机类,北京,1,0,1,3,2,2.5,3,2,2.5,1477.5,1361,1419.25,1701,1513,1607,1902,1862,1882,1,0,0.75
保险学,北京,1,0,1,3,3,3,3,3,3,1477.5,1361,1419.25,1446,1673,1559.5,1701,1862,1781.5,1,0.333333333333333,1
统计学类,北京,1,0,1,2,2,2,2,2,2,1477.5,1361,1419.25,1115,1942,1528.5,1322,2044,1683,0.5,0.5,0.5
投资学,北京,1,0,1,3,3,3,3,3,3,1477.5,1361,1419.25,917,1862,1389.5,1637,1942,1789.5,1,0.666666666666667,1
财政学类,北京,1,0,1,4,3,3.5,4,3,3.5,1477.5,1361,1419.25,788,804,796,1509,1942,1725.5,1,0.708333333333333,0.875
电子信息类,北京,1,0,1,6,2,2,8,0,2,1902,1862,2041,1978,2142.5,2307,2216,2316.5,2417,0.8125,0.75,1
计算机类,北京,1,0,1,11,2,6.5,12,2,7,1902,1862,1882,843,2044,1443.5,1573,2156,1864.5,0.958333333333333,0.875,0.916666666666667
金融学类,北京,1,0,1,5,5,5,5,5,5,1477.5,1361,1419.25,445,468,456.5,1115,658,886.5,1,0.8,1
金融学,北京,1,0,1,4,7,4,4,7,4,2090,1223,1153,1637,623,1153,1767,1158,1230,1,0.511904761904762,0.821428571428571
数学类,北京,1,1,1,1,1,1,5,1,3,20,15,17.5,10,28,19,27,28,27.5,1,0.3,1
机械类,北京,0,0,0,8,4,6,8,4,6,32358,34558,36070,30568,28863,30090,37277,32603,36501,0.861111111111111,0.388888888888889,0.75
轻工类,北京,0,0,0,8,4,6,8,4,6,32358,34558,36070,31015,22780,26499,37277,34558,37812,0.361111111111111,0.388888888888889,0.694444444444444
园林,北京,1,1,1,1,2,1.5,1,2,1.5,5183,4253,4718,4490,3902,4196,4490,6722,5606,1,0,1
生物科学类,北京,1,1,1,2,1,1.5,2,1,1.5,5183,4253,4718,2810,4788,3799,3521,4788,4154.5,1,0.5,1
金融学类,北京,0,0,0,3,3,2,3,3,2,24638,23612,23874,19242,21594,23473,23478,25285,23874,0.888888888888889,0.111111111111111,1
财务管理,北京,0,0,0,1,1,1,1,1,1,24638,24256,23874,28911,26392.5,23874,28911,26392.5,23874,0.5,0,1
药学(六年制),北京,1,1,1,4,4,4,3,4,5,81,99,71,148,99,45,148,219,71,1,0.655555555555556,1
法学,北京,1,1,1,2,1,1.5,2,1,1.5,282,321,301.5,107,411,259,189,411,300,1,0.5,1
社会学类,北京,1,1,1,2,4,6,2,4,6,282,285.5,289,211,237.5,264,332,328.5,325,1,0.583333333333333,0.916666666666667
地理科学类,北京,1,1,1,3,2,2.5,3,2,2.5,5183,4253,4718,6603,3337,4970,7076,4429,5752.5,1,0.666666666666667,0.833333333333333
机械类,北京,1,1,1,5,1,2,4,1,2,5183,4253,4131,5116,5153,3537,7076,5153,3836,1,0.666666666666667,1
